Финский коннектор;Параметры;Финский контекст;Русский коннектор;Параметры;Русский контекст
kun;subord, -, повествовательное;Kun olisi kerran käydä kuulemassa sitä Lapinlahden parempilahjaista pappia;Zero;-;- Может, сходить разок послушать этого речистого лапинлахтинского пастора.
